id,start_time,end_time,score,coins_collected,ufos_shot,bullets_fired,death_reason,game_duration,pipes_passed
plane_1763296412897,2025-11-16T12:33:32.897Z,2025-11-16T12:33:40.650Z,8,2,2,33,pipe,7,3
plane_1763296421212,2025-11-16T12:33:41.212Z,2025-11-16T12:33:44.999Z,6,0,2,31,pipe,3,1
plane_1763296425226,2025-11-16T12:33:45.226Z,2025-11-16T12:33:45.949Z,0,0,0,0,ground,0,0
plane_1763296426741,2025-11-16T12:33:46.741Z,2025-11-16T12:33:47.465Z,0,0,0,0,ground,0,0
plane_1763296427702,2025-11-16T12:33:47.702Z,2025-11-16T12:33:48.415Z,0,0,0,0,ground,0,0
plane_1763296428948,2025-11-16T12:33:48.948Z,2025-11-16T12:33:49.665Z,0,0,0,0,ground,0,0
plane_1763296429950,2025-11-16T12:33:49.950Z,2025-11-16T12:33:54.182Z,6,0,2,25,pipe,4,2
plane_1763296435012,2025-11-16T12:33:55.012Z,2025-11-16T12:33:55.732Z,0,0,0,0,ground,0,0
plane_1763296435967,2025-11-16T12:33:55.967Z,2025-11-16T12:33:56.699Z,0,0,0,0,ground,0,0
plane_1763296437259,2025-11-16T12:33:57.259Z,2025-11-16T12:34:01.782Z,7,1,2,41,pipe,4,2
plane_1763296442337,2025-11-16T12:34:02.337Z,2025-11-16T12:34:03.066Z,0,0,0,0,ground,0,0
plane_1763296536969,2025-11-16T12:35:36.969Z,2025-11-16T12:35:37.897Z,0,0,0,0,ground,0,0
plane_1763296538707,2025-11-16T12:35:38.707Z,2025-11-16T12:35:43.131Z,7,1,2,38,pipe,4,2
plane_1763296543369,2025-11-16T12:35:43.369Z,2025-11-16T12:35:44.131Z,0,0,0,0,ground,0,0
plane_1763296544950,2025-11-16T12:35:44.950Z,2025-11-16T12:35:45.748Z,0,0,0,0,ground,0,0
plane_1763296545987,2025-11-16T12:35:45.987Z,2025-11-16T12:35:46.764Z,0,0,0,0,ground,0,0
plane_1763296656644,2025-11-16T12:37:36.644Z,2025-11-16T12:37:37.329Z,0,0,0,0,ground,0,0
plane_1763296658148,2025-11-16T12:37:38.148Z,2025-11-16T12:37:57.930Z,29,8,7,32,pipe,19,9
plane_1763296678735,2025-11-16T12:37:58.735Z,2025-11-16T12:38:13.996Z,21,6,5,32,enemy_bullet,15,7
plane_1763296694774,2025-11-16T12:38:14.774Z,2025-11-16T12:38:17.595Z,6,0,2,11,ground,2,1
plane_1763296762242,2025-11-16T12:39:22.242Z,2025-11-16T12:39:29.346Z,5,2,1,13,enemy_bullet,7,3
plane_1763296770159,2025-11-16T12:39:30.159Z,2025-11-16T12:39:33.995Z,3,0,1,34,pipe,3,1
plane_1763296774242,2025-11-16T12:39:34.242Z,2025-11-16T12:39:35.011Z,0,0,0,0,ground,0,0
plane_1763296775811,2025-11-16T12:39:35.811Z,2025-11-16T12:39:59.378Z,0,0,0,0,ground,23,0
plane_1763296799931,2025-11-16T12:39:59.931Z,2025-11-16T12:40:00.711Z,0,0,0,0,ground,0,0
plane_1763297047247,2025-11-16T12:44:07.247Z,2025-11-16T12:44:11.208Z,0,0,0,6,pipe,3,1
plane_1763297052013,2025-11-16T12:44:12.013Z,2025-11-16T12:44:16.259Z,6,0,2,22,pipe,4,2
plane_1763297056510,2025-11-16T12:44:16.510Z,2025-11-16T12:44:17.275Z,0,0,0,0,ground,0,0
plane_1763297058103,2025-11-16T12:44:18.103Z,2025-11-16T12:44:21.976Z,6,0,2,19,pipe,3,1
plane_1763297062216,2025-11-16T12:44:22.216Z,2025-11-16T12:44:22.975Z,0,0,0,0,ground,0,0
plane_1763297343732,2025-11-16T12:49:03.732Z,2025-11-16T12:49:07.555Z,3,0,1,13,pipe,3,1
plane_1763297348102,2025-11-16T12:49:08.102Z,2025-11-16T12:49:08.838Z,0,0,0,0,ground,0,0
plane_1763297349505,2025-11-16T12:49:09.505Z,2025-11-16T12:49:10.255Z,0,0,0,0,ground,0,0
plane_1763297350792,2025-11-16T12:49:10.792Z,2025-11-16T12:49:11.538Z,0,0,0,0,ground,0,0
plane_1763297352122,2025-11-16T12:49:12.122Z,2025-11-16T12:49:12.888Z,0,0,0,0,ground,0,0
plane_1763297353713,2025-11-16T12:49:13.713Z,2025-11-16T12:49:14.888Z,0,0,0,0,ground,1,0
plane_1763297355408,2025-11-16T12:49:15.408Z,2025-11-16T12:49:16.138Z,0,0,0,0,ground,0,0
plane_1763297487611,2025-11-16T12:51:27.611Z,2025-11-16T12:51:28.487Z,0,0,0,0,ground,0,0
plane_1763297489312,2025-11-16T12:51:29.312Z,2025-11-16T12:51:30.087Z,0,0,0,0,ground,0,0
plane_1763297490323,2025-11-16T12:51:30.323Z,2025-11-16T12:51:31.120Z,0,0,0,0,ground,0,0
plane_1763297491780,2025-11-16T12:51:31.780Z,2025-11-16T12:51:32.554Z,0,0,0,0,ground,0,0
plane_1763297492801,2025-11-16T12:51:32.801Z,2025-11-16T12:51:33.570Z,0,0,0,0,ground,0,0
plane_1763297494115,2025-11-16T12:51:34.115Z,2025-11-16T12:51:46.287Z,10,4,2,31,pipe,12,6
plane_1763297506944,2025-11-16T12:51:46.944Z,2025-11-16T12:51:47.703Z,0,0,0,0,ground,0,0
plane_1763297665116,2025-11-16T12:54:25.116Z,2025-11-16T12:54:26.468Z,0,0,0,0,ground,1,0
plane_1763297667035,2025-11-16T12:54:27.035Z,2025-11-16T12:54:35.252Z,6,0,2,9,pipe,8,2
plane_1763297742076,2025-11-16T12:55:42.076Z,2025-11-16T12:55:45.770Z,0,0,0,5,ground,3,0
plane_1763297762821,2025-11-16T12:56:02.821Z,2025-11-16T12:56:06.084Z,0,0,0,3,ground,3,0
plane_1763298060182,2025-11-16T13:01:00.182Z,2025-11-16T13:01:18.698Z,12,3,3,16,ground,18,4
plane_1763298079551,2025-11-16T13:01:19.551Z,2025-11-16T13:01:21.331Z,0,0,0,0,ground,1,0
plane_1763298081829,2025-11-16T13:01:21.829Z,2025-11-16T13:01:23.731Z,0,0,0,0,ground,1,0
plane_1763298135853,2025-11-16T13:02:15.853Z,2025-11-16T13:02:23.313Z,0,0,0,11,pipe,7,1
plane_1763298388006,2025-11-16T13:06:28.006Z,2025-11-16T13:06:35.727Z,6,0,2,8,pipe,7,1
plane_1763298396291,2025-11-16T13:06:36.291Z,2025-11-16T13:06:44.143Z,3,0,1,9,pipe,7,1
plane_1763298755466,2025-11-16T13:12:35.466Z,2025-11-16T13:12:39.872Z,0,0,0,3,ground,4,1
plane_1763298760411,2025-11-16T13:12:40.411Z,2025-11-16T13:13:13.705Z,31,7,8,33,pipe,33,8
plane_1763298826657,2025-11-16T13:13:46.657Z,2025-11-16T13:13:55.255Z,7,1,2,10,pipe,8,2
plane_1763298843173,2025-11-16T13:14:03.173Z,2025-11-16T13:14:30.088Z,20,5,5,27,enemy_bullet,26,6
plane_1763298874257,2025-11-16T13:14:34.257Z,2025-11-16T13:14:41.906Z,3,0,1,25,pipe,7,1
plane_1763299275913,2025-11-16T13:21:15.913Z,2025-11-16T13:21:31.052Z,9,3,2,10,pipe,15,4
plane_1763299298733,2025-11-16T13:21:38.733Z,2025-11-16T13:21:49.801Z,6,0,2,21,ground,11,3
plane_1763299445506,2025-11-16T13:24:05.506Z,2025-11-16T13:24:20.648Z,6,3,1,17,pipe,15,4
plane_1763299463329,2025-11-16T13:24:23.329Z,2025-11-16T13:24:48.482Z,24,6,6,21,pipe,25,7
plane_1763299533857,2025-11-16T13:25:33.857Z,2025-11-16T13:25:36.880Z,0,0,0,0,ground,3,0
plane_1763299541137,2025-11-16T13:25:41.137Z,2025-11-16T13:26:37.581Z,26,14,4,62,pipe,56,16
plane_1763299617629,2025-11-16T13:26:57.629Z,2025-11-16T13:27:19.647Z,11,5,2,19,pipe,22,6
plane_1763299670840,2025-11-16T13:27:50.840Z,2025-11-16T13:28:19.064Z,19,7,4,25,enemy_bullet,28,8
plane_1763299729250,2025-11-16T13:28:49.250Z,2025-11-16T13:29:11.070Z,20,5,5,20,pipe,21,6
plane_1763299785639,2025-11-16T13:29:45.639Z,2025-11-16T13:30:57.344Z,50,20,10,64,enemy_bullet,71,21
plane_1763299866843,2025-11-16T13:31:06.843Z,2025-11-16T13:31:08.378Z,0,0,0,0,ground,1,0
plane_1763299871000,2025-11-16T13:31:11.000Z,2025-11-16T13:31:40.543Z,26,5,7,45,pipe,29,7
plane_1763299903476,2025-11-16T13:31:43.476Z,2025-11-16T13:32:10.993Z,15,6,3,22,pipe,27,7
plane_1763300247256,2025-11-16T13:37:27.256Z,2025-11-16T13:38:01.840Z,27,9,6,35,enemy_bullet,34,10
plane_1763300615836,2025-11-16T13:43:35.836Z,2025-11-16T13:44:00.669Z,38,14,8,67,pipe,24,14
plane_1763300644008,2025-11-16T13:44:04.008Z,2025-11-16T13:45:40.203Z,128,56,24,171,pipe,96,57
plane_1763301316053,2025-11-16T13:55:16.053Z,2025-11-16T13:55:20.345Z,4,1,1,24,pipe,4,2
plane_1763301322650,2025-11-16T13:55:22.650Z,2025-11-16T13:55:37.094Z,22,7,5,50,pipe,14,8
plane_1763301799623,2025-11-16T14:03:19.623Z,2025-11-16T14:04:09.355Z,83,29,18,99,pipe,49,29
plane_1763302666814,2025-11-16T14:17:46.814Z,2025-11-16T14:18:29.945Z,64,25,13,78,pipe,43,25
plane_1763304154324,2025-11-16T14:42:34.324Z,2025-11-16T14:42:36.945Z,3,0,1,13,pipe,2,1
plane_1763304158507,2025-11-16T14:42:38.507Z,2025-11-16T14:43:05.695Z,42,15,9,55,enemy_bullet,27,16
plane_1763304721512,2025-11-16T14:52:01.512Z,2025-11-16T14:52:05.821Z,7,1,2,16,pipe,4,2
plane_1763304738741,2025-11-16T14:52:18.741Z,2025-11-16T14:52:46.372Z,48,15,11,54,pipe,27,16
plane_1763307034614,2025-11-16T15:30:34.614Z,2025-11-16T15:30:54.313Z,29,11,6,52,pipe,19,11
plane_1763307165602,2025-11-16T15:32:45.602Z,2025-11-16T15:32:46.411Z,0,0,0,0,ground,0,0
plane_1763307171653,2025-11-16T15:32:51.653Z,2025-11-16T15:32:52.461Z,0,0,0,0,ground,0,0
plane_1763307174646,2025-11-16T15:32:54.646Z,2025-11-16T15:32:57.279Z,6,0,2,21,pipe,2,1
plane_1763307180285,2025-11-16T15:33:00.285Z,2025-11-16T15:33:03.129Z,6,0,2,15,pipe,2,1
